11/29/2018,Amazon,Extra,-$79.18
11/29/2018,Amazon,Clothes,-$33.11
11/29/2018,Online Banking transfer from Sav 8096, Confirmation# x7511,Transfer,$550.00
11/29/2018,Online Banking transfer to Chk 9299, Confirmation# x7511,Transfer,-$550.00
11/29/2018,Spicy Chen Asian Bistro,Restaurants,-$4.17
11/29/2018,Zelle Transfer Conf# 5159d8126;, Justin Sobotik,Restaurants,-$4.20
11/29/2018,Zelle Transfer Conf# f1789e994;, Prestwood, Jacoby,Transfer,$911.00
11/29/2018,Zelle Transfer Conf# fcde09ec1;, Prestwood, Jacoby,Transfer,$14.20
11/28/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$130.00
11/28/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$52.00
11/28/2018,Online Banking transfer from Sav 8096, Confirmation# x1760,Transfer,$1,500.00
11/28/2018,Online Banking transfer to Chk 9299, Confirmation# x1760,Transfer,-$1,500.00
11/28/2018,Sprouts Farmers Market,Groceries,-$33.03
11/28/2018,Tiller (tillerhq.com),Subscriptions,-$5.00
11/27/2018,Ally Bank, Des:acct Fund, ID:x1075, Indn:stuart Mcrobbie, CO Id:3770,Transfer,-$500.00
11/27/2018,Amazon Prime, Amzn.com/billwa,Subscriptions,-$7.03
11/27/2018,Capital One, Des:mobile Pmt ID:x6755, INDN:x9070MCROBBIESTUA, CO Id:9279,Transfer,-$1,723.61
11/27/2018,Chipotle,Restaurants,-$7.42
11/26/2018,Baker Street Pub & Grill,Nightlife,-$23.84
11/26/2018,Bank of America Credit Card Bill Payment,Transfer,-$171.05
11/26/2018,Capital One Mobile Pymt Authdate 25-nov,Transfer,$1,723.61
11/26/2018,From: Bank of America, Na-funds Received,Transfer,$100.00
11/26/2018,Interest Earned,Additional Income,$0.09
11/26/2018,L'avantage Salon,Extra,-$39.00
11/26/2018,Online Banking transfer from Sav 8096, Confirmation# x1681,Transfer,$500.00
11/26/2018,Online Banking transfer to Chk 9299, Confirmation# x1681,Transfer,-$500.00
11/26/2018,Payment - Thank You,Transfer,$171.05
11/26/2018,Sun and Ski 06,Clothes,-$97.35
11/26/2018,Vanguard Buy, Des:investment ID:x5509, Indn:stuart Ian Mcrobbie, CO Id:vmc,Transfer,-$100.00
11/26/2018,Vanguard Federal Money Market Fund (settlement Fund)-sweep in,Brokerage,-$100.00
11/23/2018,Baker Street Pub & Grill,Nightlife,-$7.33
11/23/2018,Baker Street Pub & Grill,Nightlife,-$7.33
11/23/2018,Chipotle,Restaurants,-$7.42
11/23/2018,H-e-b Gas #473,Gas,-$21.46
11/23/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$895.85
11/23/2018,Spicy Chen Asian Bistro,Restaurants,-$5.33
11/23/2018,Sprouts Farmers Market,Groceries,-$26.89
11/23/2018,Total Wine & More,Gifts,-$9.73
11/21/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$130.00
11/21/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$52.00
11/21/2018,Momentum Indoor Climbi,Fitness,-$80.11
11/20/2018,Chipotle,Restaurants,-$7.42
11/19/2018,Costco,Restaurants,-$3.24
11/19/2018,Costco,Extra,-$33.40
11/19/2018,From: Bank of America, Na-funds Received,Transfer,$100.00
11/19/2018,Geico, Des:prem Coll, Id:5asoh4e5vl8oe E, Indn:stuart Mcrobbie, CO Id:3530,Car Insurance,-$106.75
11/19/2018,Holman Draft Hall,Nightlife,-$14.99
11/19/2018,Kung Fu Saloon,Nightlife,-$12.00
11/19/2018,Pub Fiction,Nightlife,-$14.99
11/19/2018,Taco Bell,Restaurants,-$4.10
11/19/2018,Vanguard Buy, Des:investment ID:x5509, Indn:stuart Ian Mcrobbie, CO Id:vmc,Transfer,-$100.00
11/19/2018,Vanguard Federal Money Market Fund (settlement Fund)-sweep in,Brokerage,-$100.00
11/19/2018,Wb51,Transfer,-$24.87
11/17/2018,Propect Cafe Dining, Houston, TX,Restaurants,-$8.05
11/17/2018,Under the Radar,Nightlife,-$18.19
11/16/2018,Geico,Home Insurance,-$11.67
11/16/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$895.85
11/15/2018,H-e-b,Extra,-$8.34
11/15/2018,H-e-b Gas #473,Gas,-$21.14
11/15/2018,Online scheduled transfer to Chk 8631, Confirmation# x2680,Phone BIll,-$60.00
11/15/2018,Taco Bell,Restaurants,-$3.24
11/15/2018,Theo's Restaurant,Restaurants,-$28.63
11/14/2018,Hctra Ez Tag Rebill,Car Expenses,-$40.00
11/13/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$130.00
11/13/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$52.00
11/13/2018,Bank of America Credit Card Bill Payment,Transfer,-$17.68
11/13/2018,Capital One, Des:mobile Pmt ID:x0619, INDN:x9070MCROBBIESTUA, CO Id:9279,Transfer,-$2,211.28
11/13/2018,Checkcard, 1110 Venmo, x-x-4430 NY x7855,Extra,-$30.00
11/13/2018,Chipotle,Restaurants,-$7.42
11/13/2018,Interest Charge:purchases,Extra,-$50.23
11/13/2018,Zelle Transfer Conf# 6f376fa5f;, Prestwood, Jacoby,Utilities,-$86.50
11/12/2018,Babe's Doughnut Compa,Restaurants,-$12.86
11/12/2018,Capital One Mobile Pymt Authdate 11-nov,Transfer,$2,211.28
11/12/2018,H-e-b Gas #544,Gas,-$26.99
11/12/2018,LA Madeleine,Restaurants,-$27.35
11/12/2018,Mornings Kolaches,Gifts,-$27.20
11/12/2018,O'bannon's Taphouse,Nightlife,-$7.50
11/12/2018,O'bannon's Taphouse,Nightlife,-$13.50
11/12/2018,O'bannon's Taphouse,Nightlife,-$21.00
11/12/2018,Payment - Thank You,Transfer,$17.68
11/12/2018,Raising Cane's,Restaurants,-$8.35
11/12/2018,Trader Joe's,Groceries,-$37.44
11/12/2018,Uber Technologies,Extra,-$25.23
11/12/2018,Whataburger,Restaurants,-$7.51
11/10/2018,Hou Parking Garage, Houston, TX,Extra,-$5.00
11/10/2018,Past Due Fee,Extra,-$25.00
